Day,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,9259,9265.871533100039,0.0007415959821471807,0,0.0,0.0,0,0.0,0.0,698,698.6230011306735,0.0008917558249087465,875,875.3099173553718,0.00035406585624908615,0,0.0,0.0,0,0.0,0.0,0.0007200342823215993,10839,10838,10839,10832,0
1,9252,9653,0.04154148969232363,0,0,0.0,0,0,0.0,695,691,0.005788712011577379,874,874,0.0,0,0,0.0,0,0,0.0,0.036105910671302484,11218,11216,11217,10821,0
2,9249,10040,0.0787848605577689,0,0,0.0,0,0,0.0,696,684,0.01754385964912286,875,874,0.0011441647597254523,1,0,0.0,0,0,0.0,0.06941450375097008,11598,11596,11597,10821,0
3,9248,10427,0.11307183274192001,0,0,0.0,0,0,0.0,696,677,0.028064992614475592,875,874,0.0011441647597254523,1,0,0.0,1,0,0.0,0.1002755280955164,11978,11976,11977,10821,0
4,9242,10815,0.14544613962089692,0,0,0.0,0,0,0.0,695,670,0.03731343283582089,872,873,0.001145475372279492,2,0,0.0,1,0,0.0,0.12964311726147124,12358,12356,12357,10812,0
5,9248,11202,0.1744331369398322,0,0,0.0,0,0,0.0,695,663,0.04826546003016596,873,873,0.0,2,0,0.0,3,0,0.0,0.15631624401350397,12738,12736,12737,10821,0
6,9248,11590,0.20207075064710955,0,0,0.0,0,0,0.0,694,655,0.05954198473282446,873,872,0.0011467889908256534,2,0,0.0,3,0,0.0,0.18199146081122294,13117,13115,13116,10820,0
7,9267,11977,0.22626701177256403,0,0,0.0,0,0,0.0,694,648,0.07098765432098775,873,872,0.0011467889908256534,3,0,0.0,3,0,0.0,0.20472732661529341,13497,13495,13496,10840,0
8,9285,12521,0.2584458110374571,0,0,0.0,0,0,0.0,693,641,0.08112324492979717,872,872,0.0,3,0,0.0,3,0,0.0,0.23473241644694648,14034,14032,14033,10856,0
9,9305,13064,0.2877372933251684,0,0,0.0,0,0,0.0,692,634,0.09148264984227139,872,871,0.0011481056257176547,4,0,0.0,3,0,0.0,0.2625617792421746,14569,14567,14568,10876,0
10,9328,13608,0.3145208700764256,0,0,0.0,0,0,0.0,691,627,0.10207336523125998,868,871,0.003444316877152742,8,0,0.0,3,0,0.0,0.2885137371731215,15106,15104,15105,10898,0
