#name,country,lat,lon,geo_lat,geo_lon,location_type
Kidal,Mali,18.444305,1.4015229999999999,18.4408358,1.4075395,conflict_zone
Gao,Mali,16.27091,-0.04021,16.3700359,-2.2900239,conflict_zone
Timbuktu,Mali,16.780260000000002,-3.00159,16.7719091,-3.0087272,conflict_zone
Mopti,Mali,,,14.4879631,-4.1905986,town
Douentza,Mali,,,15.0068749,-2.9529649,conflict_zone
Konna,Mali,,,14.9441399,-3.8903866,town
Menaka,Mali,,,15.9167,2.4,conflict_zone
Niafounke,Mali,,,15.931,-3.99,conflict_zone
Bourem,Mali,,,16.9575282,-0.3468008,conflict_zone
Bamako,Mali,,,12.60503275,-7.98651367343936,conflict_zone
Tenenkou,Mali,14.5004532,-4.8748448,14.4583496,-4.9147333,conflict_zone
Segou,Mali,,,13.441518,-6.268147,town
Ansongo,Mali,,,15.6639257,0.5067841,conflict_zone
Lere,Mali,,,14.2115311,-3.0654491,conflict_zone
Dire,Mali,,,16.2678091,-3.3971368,conflict_zone
Goundam,Mali,,,16.4168533,-3.6636275,town
Fassala-Mbera,Mauritania,15.639012,-5.751422,15.639012,-5.751422,camp
Mentao,Burkina_Faso,,,14.0093574,-1.6699165,camp
Bobo-Dioulasso,Burkina_Faso,,,11.1757783,-4.2957591,camp
Abala,Niger,,,15.1676,5.1947,camp
Mangaize,Niger,,,14.6832096,1.953911,camp
Niamey,Niger,,,13.524834,2.109823,camp
Tabareybarey,Niger,,,14.77842975,0.950778273435091,camp
